T389 LZJ XNO 24:00 24:00 99:59 0.0
T389 XAY LZJ 24:00 24:00 99:59 0.0
G862 XAY ZZF 24:00 24:00 99:59 0.0
G1981 ZZF XAY 24:00 24:00 99:59 0.0
G1983 ZZF XAY 24:00 24:00 99:59 0.0
G861 ZZF XAY 24:00 24:00 99:59 0.0
G1985 ZZF XAY 24:00 24:00 99:59 0.0
G501 BJP ZZF 24:00 24:00 99:59 0.0
G504 ZZF BJP 24:00 24:00 99:59 0.0
G501 ZZF WHN 24:00 24:00 99:59 0.0
G859 ZZF WHN 24:00 24:00 99:59 0.0
G860 WHN ZZF 24:00 24:00 99:59 0.0
G504 WHN ZZF 24:00 24:00 99:59 0.0
K9021 GZQ SZQ 24:00 24:00 99:59 0.0
Z230 SZQ GZQ 24:00 24:00 99:59 0.0
K9022 SZQ GZQ 24:00 24:00 99:59 0.0
K9052 SZQ GZQ 24:00 24:00 99:59 0.0
K1208 SZQ GZQ 24:00 24:00 99:59 0.0
T96 SZQ GZQ 24:00 24:00 99:59 0.0
K486 SZQ GZQ 24:00 24:00 99:59 0.0
K952 SZQ GZQ 24:00 24:00 99:59 0.0
K9006 SZQ GZQ 24:00 24:00 99:59 0.0
K9076 SZQ GZQ 24:00 24:00 99:59 0.0
K9004 SZQ GZQ 24:00 24:00 99:59 0.0
K9018 SZQ GZQ 24:00 24:00 99:59 0.0
K9122 SZQ GZQ 24:00 24:00 99:59 0.0
